Obdobie,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
Feb 1-14,0.6339,0.7100,-0.0190,0.0242,0.1511,0.7291
Feb 15-28,0.0297,0.5647,0.6189,0.0540,0.6488,0.6717
Mar 1-14,0.6253,0.7069,0.5448,0.4207,0.0106,0.6184
Mar 15-31,0.6680,0.6257,0.5749,0.7741,0.6927,0.6995
Apr 1-14,0.7341,0.7107,0.6982,0.5823,0.2173,0.7796
Apr 15-30,0.7411,0.5712,0.5233,0.6568,0.4821,0.7000
May 1-14,0.0916,0.0124,0.5881,0.5153,0.6342,0.7380
May 15-31,0.4124,0.6094,0.4514,0.7171,0.0201,0.5624
Jun 1-14,0.0963,0.0653,0.8351,0.7057,0.0305,0.7767
Jun 15-30,0.6886,0.8094,0.5673,0.5866,0.8350,0.8070
Jul 1-14,0.6689,0.7915,0.5169,0.4497,0.6631,0.5516
Jul 15-31,0.6854,0.7340,0.5316,0.7052,0.6968,0.5893
