Obdobie,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
Feb 1-14,0.4792,0.5180,-0.0115,0.0642,0.1157,0.5098
Feb 15-28,0.4588,0.4708,0.4786,0.4633,0.4748,0.4680
Mar 1-14,0.4774,0.5154,0.4684,0.4128,0.0330,0.4592
Mar 15-31,0.4904,0.4887,0.4698,0.5491,0.5035,0.4958
Apr 1-14,0.5957,0.5274,0.5508,0.5838,0.4515,0.6286
Apr 15-30,0.7083,0.5953,0.4711,0.6546,0.6338,0.8031
May 1-14,0.0743,0.0160,0.7724,0.5703,0.7612,0.8057
May 15-31,0.5962,0.7723,0.6662,0.7708,0.7461,0.7500
Jun 1-14,0.0845,0.7809,0.8341,0.7659,0.7664,0.8443
Jun 15-30,0.5818,0.8357,0.8110,0.8480,0.8661,0.8546
Jul 1-14,0.8689,0.7944,0.7123,0.5563,0.7340,0.7553
Jul 15-31,0.7628,0.7599,0.6960,0.7761,0.7375,0.7277
