Obdobie,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
Feb 1-14,0.5216,0.5800,-0.0094,0.0693,0.1154,0.5798
Feb 15-28,0.1248,0.4838,0.5333,0.4371,0.5074,0.5111
Mar 1-14,0.4963,0.5650,0.4825,0.4076,0.0429,0.4826
Mar 15-31,0.5094,0.5142,0.4880,0.5542,0.5298,0.5252
Apr 1-14,0.5927,0.5595,0.5884,0.5892,0.1339,0.6466
Apr 15-30,0.7407,0.6602,0.6252,0.6234,0.6858,0.8630
May 1-14,0.6612,0.0089,0.8465,0.5217,0.8177,0.8609
May 15-31,0.1025,0.9091,0.0969,0.8471,0.7691,0.8355
Jun 1-14,0.1007,0.0583,0.8811,0.8179,0.7667,0.8829
Jun 15-30,0.8203,0.8996,0.8240,0.8996,0.7523,0.8920
Jul 1-14,0.8848,0.8354,0.7460,0.6570,0.7658,0.7929
Jul 15-31,0.7989,0.7871,0.7337,0.7999,0.7672,0.7389
