Obdobie,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
Feb 1-14,0.4237,0.5437,0.499,0.5853,0.4401,0.5691
Feb 15-28,0.4736,0.4706,0.5334,0.491,0.5595,0.5269
Mar 1-14,0.4969,0.5419,0.499,0.5853,0.4401,0.5032
Mar 15-31,0.5151,0.5044,0.5131,0.5853,0.5773,0.555
Apr 1-14,0.5808,0.5371,0.5607,0.6018,0.4401,0.5992
Apr 15-30,0.773,0.5916,0.5107,0.6344,0.7313,0.8558
May 1-14,0.5934,0.4706,0.8445,0.6768,0.8389,0.863
May 15-31,0.6092,0.9059,0.7177,0.8454,0.812,0.8367
Jun 1-14,0.4237,0.7822,0.8943,0.8428,0.4401,0.8796
Jun 15-30,0.4662,0.8852,0.8733,0.9003,0.9096,0.8988
Jul 1-14,0.912,0.8802,0.7948,0.6175,0.8039,0.8406
Jul 15-31,0.8139,0.8418,0.7777,0.8408,0.8167,0.8075
