Obdobie,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
Feb 1-14,0.4638,0.5208,0.4433,0.5347,0.4317,0.5234
Feb 15-28,0.4389,0.4479,0.4794,0.4368,0.487,0.4622
Mar 1-14,0.462,0.4962,0.4433,0.4234,0.4317,0.4513
Mar 15-31,0.4681,0.4583,0.445,0.5347,0.4823,0.4922
Apr 1-14,0.5127,0.4913,0.4862,0.5857,0.4317,0.5644
Apr 15-30,0.5876,0.5303,0.4763,0.5756,0.4381,0.6907
May 1-14,0.4638,0.4479,0.633,0.5331,0.6338,0.6684
May 15-31,0.6766,0.7544,0.5664,0.7079,0.5014,0.6197
Jun 1-14,0.4638,0.6317,0.7457,0.6919,0.6081,0.7065
Jun 15-30,0.4638,0.7449,0.703,0.7539,0.7462,0.691
Jul 1-14,0.7796,0.7008,0.6043,0.5566,0.6427,0.6009
Jul 15-31,0.6998,0.6929,0.5731,0.6369,0.635,0.5989
