Obdobie,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
Feb 1-14,0.0050,0.4910,-0.0077,0.0871,0.1088,0.5138
Feb 15-28,0.0253,0.4433,0.4686,0.4558,0.4702,0.4693
Mar 1-14,0.4538,0.4943,0.4482,0.4239,0.0166,0.4550
Mar 15-31,0.4700,0.4542,0.4586,0.5355,0.5122,0.4926
Apr 1-14,0.5328,0.5047,0.5089,0.5816,0.2332,0.5882
Apr 15-30,0.6203,0.5119,0.4767,0.6142,0.0456,0.8240
May 1-14,0.0877,0.1369,0.8056,0.4180,0.7996,0.8269
May 15-31,0.4617,0.8480,0.6115,0.8161,0.5624,0.8288
Jun 1-14,0.4161,0.0009,0.8697,0.8313,0.8717,0.8810
Jun 15-30,0.7979,0.8469,0.8464,0.8717,0.9037,0.8908
Jul 1-14,0.8595,0.8456,0.7614,0.8387,0.7851,0.8398
Jul 15-31,0.7855,0.8168,0.7433,0.8335,0.7954,0.7478
