Obdobie,Rok 2020,Rok 2021,Rok 2022,Rok 2023,Rok 2024,Rok 2025
Feb 1-14,0.4731,0.5133,-0.0130,0.0716,0.1041,0.5371
Feb 15-28,0.4571,0.4499,0.5046,0.4501,0.4986,0.4839
Mar 1-14,0.4712,0.5143,0.4618,0.1837,0.0316,0.4655
Mar 15-31,0.4824,0.4635,0.4757,0.5412,0.5285,0.5040
Apr 1-14,0.5722,0.5220,0.5418,0.5743,0.4467,0.6053
Apr 15-30,0.6791,0.5738,0.5490,0.6159,0.5705,0.7651
May 1-14,0.0213,0.0394,0.7422,0.6580,0.7648,0.7686
May 15-31,0.6319,0.7932,0.5489,0.7925,0.7029,0.7946
Jun 1-14,0.0563,0.6802,0.8585,0.8113,0.6461,0.8406
Jun 15-30,0.5589,0.8403,0.8314,0.8436,0.8665,0.8570
Jul 1-14,0.8787,0.8448,0.7738,0.7074,0.7864,0.8159
Jul 15-31,0.8040,0.8197,0.7737,0.8080,0.7990,0.7763
